Nom	Prénom	Groupe	Catégorie
Age	Karl	A	C
Assain	Marc	A	A
Ateur	Nordine	C	C
Bambelle	Larry	A	A
Camant	Medhi	D	A
Copterre	Eli	B	B
Cratif	Luc	C	C
Delune	Claire	B	A
Don Devello	Guy	D	B
Faire	Lucie	D	B
Faktur	Manu	D	C
Garou	Lou	B	C
Gaule	Janry	A	A
Gina	Laurent	B	B
Golade	Larry	C	A
Hat	Tom	D	C
Homme	Maxime	A	C
Hore	Regis	A	C
Jay	Hery	C	B
Kiroul	Pierre	A	B
Konda	Anna	D	B
Lairbon	Oussama	D	C
Luassion	Eva	C	C
Melade	Amar	B	A
Olé	Harry	B	A
Onette	Camille	D	B
Oswald	Clara	C	C
Ouzi	Jack	D	C
Pèle	Emma	C	B
Proviste	Alain	A	C
Rafeux	Pierre	B	C
Reste	Eve	D	C
Sion	Eddy	C	A
Stérieu	Amy	B	B
Tare	Guy	B	A
Terrieur	Alain	C	C
Thorguesse	Paul	C	B
Ticone	Emo	A	A
Toire	Dina	A	B
Zion	Eva	C	A
